time,P,G(i),H_sun,T2m,WS10m,Int
20230118:1811,0.0,0.0,0.0,2.49,2.14,0.0
20230118:1911,0.0,0.0,0.0,1.55,2.14,0.0
20230118:2011,0.0,0.0,0.0,1.35,1.86,0.0
20230118:2111,0.0,0.0,0.0,1.16,1.72,0.0
20230118:2211,0.0,0.0,0.0,1.12,1.59,0.0
20230118:2311,0.0,0.0,0.0,0.8,1.66,0.0
20230119:0011,0.0,0.0,0.0,0.72,1.66,0.0
20230119:0111,0.0,0.0,0.0,0.23,1.66,0.0
20230119:0211,0.0,0.0,0.0,0.19,1.52,0.0
20230119:0311,0.0,0.0,0.0,0.09,1.24,0.0
20230119:0411,0.0,0.0,0.0,0.03,1.1,0.0
20230119:0511,0.0,0.0,0.0,-0.03,1.03,0.0
20230119:0611,0.0,0.0,0.0,-0.2,1.03,0.0
20230119:0711,0.0,0.0,0.0,-0.44,0.97,0.0
20230119:0811,0.0,0.0,0.0,-0.52,0.83,0.0
20230119:0911,97.22,124.95,3.58,-1.34,0.9,0.0
20230119:1011,332.6,382.96,9.73,0.04,0.48,0.0
20230119:1111,452.42,523.13,14.19,1.33,0.62,0.0
20230119:1211,585.71,687.97,16.61,2.2,0.83,0.0
20230119:1311,574.49,671.77,16.75,2.84,1.24,0.0
